Fullmetal Alchemist Brotherhood

[Ling Yao, Fullmetal Alchemist Brotherhood, 0, May Chang]
[Father, Fullmetal Alchemist Brotherhood, 0, None]
[Homunculus, Fullmetal Alchemist Brotherhood, 0, None]
[Edward Elric, Fullmetal Alchemist Brotherhood, 0, None]
[Manga, Fullmetal Alchemist Brotherhood, 0, None]
[Izumi Curtis, Fullmetal Alchemist Brotherhood, 0, March 29, 1879]
[Barry the Chopper, Fullmetal Alchemist Brotherhood, 0, None]
[Roy Mustang, Fullmetal Alchemist Brotherhood, 0, March 25, 1885]
[Solf J. Kimblee, Fullmetal Alchemist Brotherhood, 0, None]
[May Chang, Fullmetal Alchemist Brotherhood, 0, May Chang]
[Envy, Fullmetal Alchemist Brotherhood, 0, Mayumi Yamaguchi]
[Alphonse Elric, Fullmetal Alchemist Brotherhood, 0, April 19, 1900]
[Scar, Fullmetal Alchemist Brotherhood, 0, May Chang]
[King Bradley, Fullmetal Alchemist Brotherhood, 0, August 25, 1854]
[The Truth, Fullmetal Alchemist Brotherhood, 0, None]
[Miles, Fullmetal Alchemist Brotherhood, 0, None]
[Pinako Rockbell, Fullmetal Alchemist Brotherhood, 0, None]
[Maria Ross, Fullmetal Alchemist Brotherhood, 0, None]
[Vato Falman, Fullmetal Alchemist Brotherhood, 0, None]
[Riza Hawkeye, Fullmetal Alchemist Brotherhood, 0, October 2, 1889]
[Van Hohenheim, Fullmetal Alchemist Brotherhood, 0, None]
[Buccaneer, Fullmetal Alchemist Brotherhood, 0, None]
[Selim Bradley, Fullmetal Alchemist Brotherhood, 0, None]
[Olivier Mira Armstrong, Fullmetal Alchemist Brotherhood, 1, April 12th]
[Greed, Fullmetal Alchemist Brotherhood, 1, None]
[Gluttony, Fullmetal Alchemist Brotherhood, 1, None]
[Fu, Fullmetal Alchemist Brotherhood, 1, None]
[Nina Tucker, Fullmetal Alchemist Brotherhood, 1, March 31]
[Wrath (2003 anime), Fullmetal Alchemist Brotherhood, 1, None]
[Sloth (2003 anime), Fullmetal Alchemist Brotherhood, 1, February of 1910]
[Maes Hughes, Fullmetal Alchemist Brotherhood, 1, None]
[Winry Rockbell, Fullmetal Alchemist Brotherhood, 1, None]
[Shou Tucker, Fullmetal Alchemist Brotherhood, 1, None]
[Clara, Fullmetal Alchemist Brotherhood, 1, None]
[Rose Thomas, Fullmetal Alchemist Brotherhood, 1, None]
[Sloth, Fullmetal Alchemist Brotherhood, 1, None]
[Mustang Unit, Fullmetal Alchemist Brotherhood, 1, None]
[Jean Havoc, Fullmetal Alchemist Brotherhood, 1, None]
[Trisha Elric, Fullmetal Alchemist Brotherhood, 1, None]
[Heymans Breda, Fullmetal Alchemist Brotherhood, 1, None]
[Grumman, Fullmetal Alchemist Brotherhood, 1, None]
[2003 Anime, Fullmetal Alchemist Brotherhood, 1, None]
[Sig Curtis, Fullmetal Alchemist Brotherhood, 1, None]
[Isaac McDougal, Fullmetal Alchemist Brotherhood, 1, None]
[Lust, Fullmetal Alchemist Brotherhood, 1, None]
[Sheska, Fullmetal Alchemist Brotherhood, 2, None]
[Tim Marcoh, Fullmetal Alchemist Brotherhood, 2, None]
[Frank Archer, Fullmetal Alchemist Brotherhood, 2, None]
[Lan Fan, Fullmetal Alchemist Brotherhood, 2, None]
[Heinkel, Fullmetal Alchemist Brotherhood, 2, None]
[Scar%27s brother, Fullmetal Alchemist Brotherhood, 2, None]
[Dietlinde Eckhart, Fullmetal Alchemist Brotherhood, 2, None]
[Darius, Fullmetal Alchemist Brotherhood, 2, None]
[Huskisson, Fullmetal Alchemist Brotherhood, 2, None]
[Martel, Fullmetal Alchemist Brotherhood, 2, None]
[Kain Fuery, Fullmetal Alchemist Brotherhood, 2, None]
[Gold-Toothed Doctor, Fullmetal Alchemist Brotherhood, 2, None]
[Armony Eiselstein, Fullmetal Alchemist Brotherhood, 2, None]
[Slicer Brothers, Fullmetal Alchemist Brotherhood, 2, None]
[Miranda, Fullmetal Alchemist Brotherhood, 2, None]
[Halcrow, Fullmetal Alchemist Brotherhood, 2, None]
[Mr. Halling, Fullmetal Alchemist Brotherhood, 2, Coal Miner, Tavern Owner, Mayor of Youswell]
[Elicia Hughes, Fullmetal Alchemist Brotherhood, 2, Mayumi Yoshida]
[Cornello, Fullmetal Alchemist Brotherhood, 2, None]
[Raven, Fullmetal Alchemist Brotherhood, 2, None]
[Atlas, Fullmetal Alchemist Brotherhood, 2, None]
[Ruby, Fullmetal Alchemist Brotherhood, 2, None]
[Marin, Fullmetal Alchemist Brotherhood, 2, None]
