Kiseijuu Sei no Kakuritsu

[Shinichi Izumi, Kiseijuu Sei no Kakuritsu, 0, May 17, 1973 (Manga) (Taurus)]
[Migi, Kiseijuu Sei no Kakuritsu, 0, None]
[Gotou, Kiseijuu Sei no Kakuritsu, 0, None]
[Uragami, Kiseijuu Sei no Kakuritsu, 0, None]
[Reiko Tamura%27s child, Kiseijuu Sei no Kakuritsu, 0, None]
[Miki, Kiseijuu Sei no Kakuritsu, 0, None]
[Hirama, Kiseijuu Sei no Kakuritsu, 0, None]
[Nobuko Izumi (Parasite), Kiseijuu Sei no Kakuritsu, 0, None]
[Hideo Shimada, Kiseijuu Sei no Kakuritsu, 0, None]
[Kusano, Kiseijuu Sei no Kakuritsu, 0, None]
[Jaw, Kiseijuu Sei no Kakuritsu, 0, None]
[A, Kiseijuu Sei no Kakuritsu, 1, None]
[Mitsuo, Kiseijuu Sei no Kakuritsu, 1, None]
[Nobuko Izumi, Kiseijuu Sei no Kakuritsu, 1, None]
[Makiko Hayase, Kiseijuu Sei no Kakuritsu, 1, None]
[Kana Kimishima, Kiseijuu Sei no Kakuritsu, 1, None]
[Hikawa, Kiseijuu Sei no Kakuritsu, 1, None]
[Mamoru Uda, Kiseijuu Sei no Kakuritsu, 1, None]
[Takeshi Hirokawa, Kiseijuu Sei no Kakuritsu, 1, Mayor of]
[Satomi Murano, Kiseijuu Sei no Kakuritsu, 1, April 3rd 1973 (In Manga)]
[Kazuki Nagai, Kiseijuu Sei no Kakuritsu, 1, None]
[B, Kiseijuu Sei no Kakuritsu, 2, None]
[Katsumata, Kiseijuu Sei no Kakuritsu, 2, None]
[Shirou Kuramori, Kiseijuu Sei no Kakuritsu, 2, None]
[Parasite Dog, Kiseijuu Sei no Kakuritsu, 2, None]
[Yuko Tachikawa, Kiseijuu Sei no Kakuritsu, 2, None]
[Mita, Kiseijuu Sei no Kakuritsu, 2, None]
[Yamamoto, Kiseijuu Sei no Kakuritsu, 2, None]
[Taku Furuya, Kiseijuu Sei no Kakuritsu, 2, None]
[Maesawa, Kiseijuu Sei no Kakuritsu, 2, None]
[Taoka, Kiseijuu Sei no Kakuritsu, 2, None]
