Male Hunter x Hunter

[Killua Zoldyck, Male Hunter x Hunter, 0, July 7,]
[Gon Freecss, Male Hunter x Hunter, 0, May 5,]
[Kurapika, Male Hunter x Hunter, 0, April 4,]
[Hisoka Morow, Male Hunter x Hunter, 0, June 6]
[Nobunaga Hazama, Male Hunter x Hunter, 0, September 8, 1970]
[Chrollo Lucilfer, Male Hunter x Hunter, 0, None]
[Feitan Portor, Male Hunter x Hunter, 0, None]
[Ging Freecss, Male Hunter x Hunter, 0, None]
[Phinks Magcub, Male Hunter x Hunter, 0, None]
[Meruem, Male Hunter x Hunter, 0, None]
[Isaac Netero, Male Hunter x Hunter, 0, None]
[Morel Mackernasey, Male Hunter x Hunter, 0, None]
[Halkenburg Hui Guo Rou, Male Hunter x Hunter, 0, None]
[Benjamin Hui Guo Rou, Male Hunter x Hunter, 0, None]
[Leorio Paradinight, Male Hunter x Hunter, 0, March 3,]
[Tserriednich Hui Guo Rou, Male Hunter x Hunter, 0, None]
[Knuckle Bine, Male Hunter x Hunter, 0, None]
[Shaiapouf, Male Hunter x Hunter, 0, None]
[Illumi Zoldyck, Male Hunter x Hunter, 0, None]
[Shalnark, Male Hunter x Hunter, 0, None]
[Menthuthuyoupi, Male Hunter x Hunter, 0, None]
[Zhang Lei Hui Guo Rou, Male Hunter x Hunter, 0, None]
[Mizaistom Nana, Male Hunter x Hunter, 0, None]
[Ikalgo, Male Hunter x Hunter, 0, None]
[Bonolenov Ndongo, Male Hunter x Hunter, 0, None]
[Kite, Male Hunter x Hunter, 0, None]
[Knov, Male Hunter x Hunter, 0, None]
[Kaiser, Male Hunter x Hunter, 0, None]
[Franklin Bordeau, Male Hunter x Hunter, 0, None]
[Hinrigh Biganduffno, Male Hunter x Hunter, 0, None]
[Welfin, Male Hunter x Hunter, 0, None]
[Leol, Male Hunter x Hunter, 0, None]
[Zeno Zoldyck, Male Hunter x Hunter, 0, None]
[Genthru, Male Hunter x Hunter, 0, None]
[Meleoron, Male Hunter x Hunter, 0, None]
[Uvogin, Male Hunter x Hunter, 0, None]
[Pariston Hill, Male Hunter x Hunter, 0, None]
[Tsezguerra, Male Hunter x Hunter, 0, None]
[Kortopi, Male Hunter x Hunter, 0, None]
[Balsamilco Might, Male Hunter x Hunter, 0, None]
[Razor, Male Hunter x Hunter, 0, None]
[Kalluto Zoldyck, Male Hunter x Hunter, 0, None]
[Shoot McMahon, Male Hunter x Hunter, 0, None]
[Goreinu, Male Hunter x Hunter, 0, None]
[Luini, Male Hunter x Hunter, 0, None]
[Hanzo, Male Hunter x Hunter, 0, None]
[Basho, Male Hunter x Hunter, 1, None]
[Silva Zoldyck, Male Hunter x Hunter, 1, None]
[Bomber, Male Hunter x Hunter, 1, None]
[Tonpa, Male Hunter x Hunter, 1, None]
[Ken%27i Wang, Male Hunter x Hunter, 1, None]
[Luzurus Hui Guo Rou, Male Hunter x Hunter, 1, None]
[Colt, Male Hunter x Hunter, 1, None]
[Milluki Zoldyck, Male Hunter x Hunter, 1, None]
[Nasubi Hui Guo Rou, Male Hunter x Hunter, 1, None]
[Gotoh, Male Hunter x Hunter, 1, None]
[Bill, Male Hunter x Hunter, 1, None]
[Cheetu, Male Hunter x Hunter, 1, None]
[Izunavi, Male Hunter x Hunter, 1, None]
[Zushi, Male Hunter x Hunter, 1, None]
[Saiyu, Male Hunter x Hunter, 1, None]
[Omokage, Male Hunter x Hunter, 1, None]
[Squala, Male Hunter x Hunter, 1, None]
[Abengane, Male Hunter x Hunter, 1, None]
[Marayam Hui Guo Rou, Male Hunter x Hunter, 1, None]
[Yokotani, Male Hunter x Hunter, 1, None]
[Binolt, Male Hunter x Hunter, 1, None]
[Furykov, Male Hunter x Hunter, 1, None]
[Botobai Gigante, Male Hunter x Hunter, 1, None]
[Jed, Male Hunter x Hunter, 1, None]
[Pokkle, Male Hunter x Hunter, 1, None]
[Kastro, Male Hunter x Hunter, 1, None]
[Majtani, Male Hunter x Hunter, 1, None]
[Sal%C3%A9-sal%C3%A9 Hui Guo Rou, Male Hunter x Hunter, 1, None]
[Wing, Male Hunter x Hunter, 1, None]
[Kanzai, Male Hunter x Hunter, 1, None]
[Hashito, Male Hunter x Hunter, 1, None]
[Pairo, Male Hunter x Hunter, 1, None]
[Bara, Male Hunter x Hunter, 1, None]
[Zepile, Male Hunter x Hunter, 1, None]
[Koala, Male Hunter x Hunter, 1, None]
[Shura, Male Hunter x Hunter, 1, None]
[Bloster, Male Hunter x Hunter, 1, None]
[Beyond Netero, Male Hunter x Hunter, 1, None]
[Sakata, Male Hunter x Hunter, 1, None]
[Saccho Kobayakawa, Male Hunter x Hunter, 1, None]
[Rammot, Male Hunter x Hunter, 1, None]
[Sub, Male Hunter x Hunter, 1, None]
[Babimyna, Male Hunter x Hunter, 1, None]
[Gaki, Male Hunter x Hunter, 1, None]
[Dalzollene, Male Hunter x Hunter, 1, None]
[Puhat, Male Hunter x Hunter, 1, None]
[Steiner, Male Hunter x Hunter, 2, None]
[Beans, Male Hunter x Hunter, 2, None]
[Flutter, Male Hunter x Hunter, 2, None]
[Tenftory, Male Hunter x Hunter, 2, None]
[Light Nostrade, Male Hunter x Hunter, 2, None]
[Nikoraurusu, Male Hunter x Hunter, 2, None]
[Satotz, Male Hunter x Hunter, 2, None]
[Maor, Male Hunter x Hunter, 2, None]
[Rihan, Male Hunter x Hunter, 2, None]
[Moritonio, Male Hunter x Hunter, 2, None]
[Gido, Male Hunter x Hunter, 2, None]
[Shachmono Tocino, Male Hunter x Hunter, 2, None]
[Gateaume, Male Hunter x Hunter, 2, None]
[Bizeff, Male Hunter x Hunter, 2, None]
[Anesuto, Male Hunter x Hunter, 2, None]
[Salkov, Male Hunter x Hunter, 2, None]
[Riehlvelt, Male Hunter x Hunter, 2, None]
[Ginta, Male Hunter x Hunter, 2, None]
[Hollow, Male Hunter x Hunter, 2, None]
[Ortho Siblings, Male Hunter x Hunter, 2, None]
[Tagenpaku, Male Hunter x Hunter, 2, None]
[Furichosefu, Male Hunter x Hunter, 2, None]
[K%C5%8Dbihi, Male Hunter x Hunter, 2, None]
[Orarge, Male Hunter x Hunter, 2, None]
[Naik%C4%93ru, Male Hunter x Hunter, 2, None]
[Sumidori, Male Hunter x Hunter, 2, None]
[Battera, Male Hunter x Hunter, 2, None]
[Kazsule, Male Hunter x Hunter, 2, None]
[Rorgo, Male Hunter x Hunter, 2, None]
[Guerimori, Male Hunter x Hunter, 2, None]
[Nickes, Male Hunter x Hunter, 2, None]
[Gihoruto, Male Hunter x Hunter, 2, None]
[Kontasutin, Male Hunter x Hunter, 2, None]
[Padaille, Male Hunter x Hunter, 2, None]
[Shikaku, Male Hunter x Hunter, 2, None]
[Danjin, Male Hunter x Hunter, 2, None]
[Belerainte, Male Hunter x Hunter, 2, None]
[Coventoba, Male Hunter x Hunter, 2, None]
[Gyro, Male Hunter x Hunter, 2, None]
[Terebellum, Male Hunter x Hunter, 2, None]
[Rabid Dog, Male Hunter x Hunter, 2, None]
[Pike, Male Hunter x Hunter, 2, None]
[Otocin, Male Hunter x Hunter, 2, None]
[Lippo, Male Hunter x Hunter, 2, None]
[Deruboro, Male Hunter x Hunter, 2, None]
[Worm, Male Hunter x Hunter, 2, None]
