Naruto

[Naruto Uzumaki, Naruto, 0, October 10]
[Sasuke Uchiha, Naruto, 0, July 23]
[Boruto Uzumaki, Naruto, 0, March 27]
[Shikamaru Nara, Naruto, 0, September 22]
[Sakura Haruno, Naruto, 0, March 28]
[Kakashi Hatake, Naruto, 0, September 15]
[Sarada Uchiha, Naruto, 0, March 31]
[Kawaki, Naruto, 0, May 13]
[Mitsuki, Naruto, 0, July 25]
[Gaara, Naruto, 0, January 19]
[Sai, Naruto, 0, November 25]
[Obito Uchiha, Naruto, 0, February 10]
[Ino Yamanaka, Naruto, 0, September 23]
[Hinata Hy%C5%ABga, Naruto, 0, December 27]
[Konohamaru Sarutobi, Naruto, 0, December 30]
[Tsunade, Naruto, 0, August 2]
[Orochimaru, Naruto, 0, Mayumi Yamaguchi]
[Kurama, Naruto, 0, None]
[Jiraiya, Naruto, 0, November 11]
[Kiba Inuzuka, Naruto, 0, July 7]
[Shino Aburame, Naruto, 0, January 23]
[Itachi Uchiha, Naruto, 0, June 9]
[Might Guy, Naruto, 0, Mayuki Makiguchi]
[Rock Lee, Naruto, 0, November 27]
[Ch%C5%8Dji Akimichi, Naruto, 0, May 1]
[Kabuto Yakushi, Naruto, 0, February 29]
[Tenten, Naruto, 0, March 9]
[Killer B, Naruto, 0, May 15]
[%C5%8Cnoki, Naruto, 0, October 8]
[Shikadai Nara, Naruto, 0, September 23]
[Madara Uchiha, Naruto, 0, December 24]
[Kankur%C5%8D, Naruto, 0, May 15]
[Temari, Naruto, 0, August 23]
[Himawari Uzumaki, Naruto, 0, None]
[Yamato, Naruto, 0, August 10]
[Ch%C5%8Dch%C5%8D Akimichi, Naruto, 0, August 8]
[Neji Hy%C5%ABga, Naruto, 0, July 3]
[Nagato, Naruto, 0, September 19]
[Minato Namikaze, Naruto, 0, January 25]
[Inojin Yamanaka, Naruto, 0, December 5]
[Danz%C5%8D Shimura, Naruto, 0, January 6]
[Sumire Kakei, Naruto, 0, June 12]
[Iwabee Yuino, Naruto, 0, None]
[Suigetsu H%C5%8Dzuki, Naruto, 0, February 18]
[Black Zetsu, Naruto, 0, Mayfly]
[Amado Sanzu, Naruto, 0, None]
[Deidara, Naruto, 0, May 5]
[Hagoromo %C5%8Ctsutsuki, Naruto, 0, August 6]
[A (Fourth Raikage), Naruto, 0, June 1]
[Denki Kaminarimon, Naruto, 0, None]
[Hashirama Senju, Naruto, 0, October 23]
[Karin, Naruto, 0, June 20]
[Sasori, Naruto, 0, November 8]
[Kisame Hoshigaki, Naruto, 0, March 18]
[Isshiki %C5%8Ctsutsuki, Naruto, 0, None]
[Hiruzen Sarutobi, Naruto, 0, February 8]
[Gy%C5%ABki, Naruto, 0, None]
[Metal Lee, Naruto, 0, None]
[Kaguya %C5%8Ctsutsuki, Naruto, 0, August 15]
[Shizune, Naruto, 0, November 18]
[Hidan, Naruto, 0, April 2]
[Iruka Umino, Naruto, 0, May 26]
[Hiashi Hy%C5%ABga, Naruto, 0, January 8]
[Mei Terum%C4%AB, Naruto, 0, May 21]
[Zabuza Momochi, Naruto, 0, August 15]
[Tobirama Senju, Naruto, 0, February 19]
[Hanabi Hy%C5%ABga, Naruto, 0, March 27]
[J%C5%ABgo, Naruto, 0, October 1]
[Momoshiki %C5%8Ctsutsuki, Naruto, 0, None]
[Kakuzu, Naruto, 0, August 15]
[Asuma Sarutobi, Naruto, 0, October 18]
[Kushina Uzumaki, Naruto, 0, July 10]
[Akamaru, Naruto, 0, July 7]
[Code, Naruto, 0, None]
[Kurenai Y%C5%ABhi, Naruto, 0, June 11]
[Ao, Naruto, 0, August 1]
[Konan, Naruto, 0, February 20]
[Ch%C5%8Dj%C5%ABr%C5%8D, Naruto, 0, November 1]
[Ada, Naruto, 0, None]
[Darui, Naruto, 0, January 6]
[Haku, Naruto, 0, Mayumi Asano]
[White Zetsu, Naruto, 0, Mayfly]
