No Game No Life

[Jibril, No Game No Life, 0, None]
[Sora, No Game No Life, 0, July 7th]
[Stephanie Dola, No Game No Life, 0, September 13]
[Tet, No Game No Life, 0, None]
[Shiro, No Game No Life, 0, December 12th]
[Azril, No Game No Life, 0, None]
[Schwi Dola, No Game No Life, 0, None]
[Riku Dola, No Game No Life, 0, None]
[Plum Stoker, No Game No Life, 1, None]
[Kurami (Initial Concept), No Game No Life, 1, None]
[Emir-Eins, No Game No Life, 1, None]
[Chlammy Zell, No Game No Life, 1, None]
[Think Nirvalen, No Game No Life, 1, None]
[N%C3%BDi Tilvilg, No Game No Life, 1, None]
[Avant Heim, No Game No Life, 1, None]
[Holou, No Game No Life, 2, None]
[Devil, No Game No Life, 2, None]
[Nina Clive, No Game No Life, 2, None]
[Fiel Nirvalen, No Game No Life, 2, None]
[Laila Lorelei, No Game No Life, 2, None]
[Schira Ha, No Game No Life, 2, None]
[Miko, No Game No Life, 2, 1th November]
